"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Database","Group"
"Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542","27/660",3.78528810482484e-06,0.000171810021202327,0,0,2.91408041583856,36.3805121960658,"H2AX;GRB7;ABCD3;CDCA8;AURKB;RACGAP1;FLOT1;ABL2;PLXNA1;FLOT2;ECT2;JAG1;ARHGEF12;NDUFA5;NCOA3;PLK1;CYBA;NDC80;ANLN;CCDC88A;INCENP;PRC1;CDC42EP4;RAPGEF1;NDUFS3;KIF2C;SPC24","Reactome_2022","Downregulated"
"G1/S-Specific Transcription R-HSA-69205","6/29",4.31290821721738e-06,0.000185455053340348,0,0,17.1052173913043,211.316112990104,"DHFR;POLA1;RRM2;CDK1;TK1;TYMS","Reactome_2022","Downregulated"
"Cell Cycle Checkpoints R-HSA-69620","16/271",4.71808548794958e-06,0.00019273379218274,0,0,4.20586883029074,51.5812272873042,"H2AX;UBE2C;PLK1;CDCA8;MCM10;NDC80;AURKB;CCNA2;CCNB2;CCNB1;INCENP;CHEK1;CDK2;CDK1;KIF2C;SPC24","Reactome_2022","Downregulated"
"M Phase R-HSA-68886","19/380",6.92888343828321e-06,0.000269566560432256,0,0,3.54538785989364,42.1185408092324,"H2AX;UBE2C;CDCA5;NCAPH2;PLK1;CDCA8;CSNK1E;NDC80;AURKB;PHF8;HAUS1;MZT2B;CCNB2;CCNB1;INCENP;CDK1;KIF2C;KIF20A;SPC24","Reactome_2022","Downregulated"
"Activation Of Pre-Replicative Complex R-HSA-68962","6/32",7.91612492973481e-06,0.000293976093981515,0,0,15.1292307692308,177.717154510732,"POLA1;POLA2;PRIM1;CDK2;MCM10;POLE","Reactome_2022","Downregulated"
"Activation Of AMPK Downstream Of NMDARs R-HSA-9619483","4/10",1.04930344062387e-05,0.000372730830865089,0,0,43.4613686534216,498.275852000636,"PRKAA1;PRKAA2;PRKAG1;CAMKK2","Reactome_2022","Downregulated"
"E2F Mediated Regulation Of DNA Replication R-HSA-113510","5/22",1.7256091486544e-05,0.000587426114354435,0,0,19.2270861833105,210.870094192125,"POLA1;CCNB1;POLA2;PRIM1;CDK1","Reactome_2022","Downregulated"
"Signal Transduction R-HSA-162582","63/2465",2.59923806971515e-05,0.00084943100118291,0,0,1.8664076232769,19.7049850400278,"H2AX;ABCD3;PRKAG1;ADGRE5;CHEK1;FLOT1;AKT1;FLOT2;PDE8A;DLGAP5;FGB;ARHGEF12;NCOA3;CYBA;CSNK1E;NCOR1;INCENP;CDC42EP4;RAPGEF1;NDUFS3;KIF2C;GRB7;PRKAA1;PRKAA2;HDAC3;GNAI3;CDCA8;DERL2;ABHD6;FURIN;LTBP3;CAMKK1;AURKB;GNAI2;CAMKK2;LRP6;RACGAP1;FLRT3;ABL2;PLXNA1;SOCS6;ECT2;LYN;WWOX;YES1;JAG1;NDUFA5;PLK1;CGN;NDC80;PPP1CA;ANLN;CCDC88A;NBEA;PRC1;GNB1;CDK2;TACC3;CNTN1;CDK1;AMOTL2;SPC24;EZH2","Reactome_2022","Downregulated"
"Hemostasis R-HSA-109582","23/576",2.95178744011308e-05,0.000927542437912456,0,0,2.81307228800184,29.3417914757944,"LYN;TOR4A;FGB;GRB7;YES1;GNAI3;ABHD6;KIF11;KIF22;CYRIB;GNAI2;SOD1;RACGAP1;GRB14;KIFC1;KIF4A;GNB1;CDK2;KIF13B;AKT1;KIF1C;KIF2C;KIF20A","Reactome_2022","Downregulated"
"G2/M DNA Replication Checkpoint R-HSA-69478","3/5",3.46676359139853e-05,0.00104901698302689,0,0,97.4851485148515,1001.14361855413,"CCNB2;CCNB1;CDK1","Reactome_2022","Downregulated"
