"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Database","Group"
"ECM-receptor interaction","12/88",8.51863152751427e-12,1.42261146509488e-09,0,0,20.2576896787423,516.343499905708,"LAMA5;COL4A2;SDC4;LAMB2;DAG1;SPP1;FN1;LAMB1;LAMC1;AGRN;HSPG2;THBS1","KEGG_2021_Human","Upregulated"
"Small cell lung cancer","8/92",9.79460042352422e-07,8.17849135364273e-05,0,0,11.9047619047619,164.717433265677,"LAMA5;CDKN1B;COL4A2;MAX;LAMB2;FN1;LAMB1;LAMC1","KEGG_2021_Human","Upregulated"
"Protein processing in endoplasmic reticulum","9/171",1.32757449404581e-05,0.00073901646835217,0,0,6.96107572540694,78.1699001953024,"DNAJB2;SEC24A;HSPA5;DDIT3;EIF2AK3;SEC24D;ATF6;SEC23B;HERPUD1","KEGG_2021_Human","Upregulated"
"Complement and coagulation cascades","6/85",7.59898539809494e-05,0.00317257640370464,0,0,9.37737341772152,88.9435497193364,"C5;SERPINA1;C1S;CFH;SERPINE1;CLU","KEGG_2021_Human","Upregulated"
"Amoebiasis","6/102",0.000208362550895874,0.00611636345521772,0,0,7.71015625,65.3530651314162,"LAMA5;COL4A2;LAMB2;FN1;LAMB1;LAMC1","KEGG_2021_Human","Upregulated"
"Protein digestion and absorption","6/103",0.000219749585217403,0.00611636345521772,0,0,7.63028350515464,64.270045135197,"COL18A1;COL4A2;FXYD2;COL7A1;COL5A2;SLC38A2","KEGG_2021_Human","Upregulated"
"Focal adhesion","8/201",0.000281603438081849,0.00671825345138125,0,0,5.15275136092346,42.1237976370425,"LAMA5;COL4A2;LAMB2;FN1;SPP1;LAMB1;LAMC1;THBS1","KEGG_2021_Human","Upregulated"
"Human papillomavirus infection","10/331",0.000458740458440951,0.00957620706995486,0,0,3.89667705088266,29.9538576394957,"CREB3;LAMA5;CDKN1B;COL4A2;LAMB2;FN1;SPP1;LAMB1;LAMC1;THBS1","KEGG_2021_Human","Upregulated"
"Amino sugar and nucleotide sugar metabolism","4/48",0.000670038113116742,0.0124329294322773,0,0,11.1054994388328,81.160944044308,"NAGK;UXS1;UAP1;HK2","KEGG_2021_Human","Upregulated"
"PI3K-Akt signaling pathway","10/354",0.000770478226965041,0.0128669863903162,0,0,3.63185748360167,26.0349673274209,"CREB3;LAMA5;CDKN1B;COL4A2;LAMB2;FN1;SPP1;LAMB1;LAMC1;THBS1","KEGG_2021_Human","Upregulated"
"Amyotrophic lateral sclerosis","10/364",0.000952072030852075,0.0144541844683906,0,0,3.52745183253658,24.5400233482822,"GABARAPL2;HSPA5;DDIT3;EIF2AK3;RAB39B;WIPI1;ANG;COX6C;ATF6;SQSTM1","KEGG_2021_Human","Upregulated"
"Pathways of neurodegeneration","11/475",0.00210387442016312,0.0292789190139367,0,0,2.96259733036707,18.2613749080796,"APP;GABARAPL2;HSPA5;DDIT3;EIF2AK3;RAB39B;WIPI1;MAPT;COX6C;ATF6;SQSTM1","KEGG_2021_Human","Upregulated"
"Mitophagy","4/68",0.00246654440417984,0.0316856088844641,0,0,7.62731481481481,45.8015459683207,"GABARAPL2;CALCOCO2;EIF2AK3;SQSTM1","KEGG_2021_Human","Upregulated"
"Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426","17/123",2.55340698581734e-16,1.2511694230505e-13,0,0,21.2343928073952,762.398215540057,"IGFBP1;APP;SERPINA1;IGFBP4;APLP2;IGFBP2;FN1;LAMB1;LAMC1;CST3;VCAN;VGF;STC2;QSOX1;IGFBP6;TIMP1;MFGE8","Reactome_2022","Upregulated"
"Post-translational Protein Phosphorylation R-HSA-8957275","15/106",1.08594040164417e-14,2.66055398402823e-12,0,0,21.5519248962958,692.975096527471,"IGFBP1;APP;SERPINA1;IGFBP4;APLP2;FN1;LAMB1;LAMC1;CST3;VCAN;VGF;STC2;QSOX1;TIMP1;MFGE8","Reactome_2022","Upregulated"
"Extracellular Matrix Organization R-HSA-1474244","17/291",3.49509340817905e-10,5.70865256669246e-08,0,0,8.14480968010582,177.349083678367,"COL18A1;LAMA5;SDC4;SERPINE1;FN1;LAMB1;LAMC1;HSPG2;THBS1;VCAN;COL4A2;COL7A1;COL5A2;DAG1;TIMP2;TIMP1;AGRN","Reactome_2022","Upregulated"
"Platelet Degranulation R-HSA-114608","12/125",5.61130267275445e-10,6.8738457741242e-08,0,0,13.5991265371796,289.675919542598,"LGALS3BP;APP;SERPINA1;HSPA5;APLP2;SERPINE1;FN1;MAGED2;QSOX1;TIMP1;CLU;THBS1","Reactome_2022","Upregulated"
"Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005","12/130",8.85840946248239e-10,8.68124127323274e-08,0,0,13.0195905789126,271.386643607323,"LGALS3BP;APP;SERPINA1;HSPA5;APLP2;SERPINE1;FN1;MAGED2;QSOX1;TIMP1;CLU;THBS1","Reactome_2022","Upregulated"
"Non-integrin membrane-ECM Interactions R-HSA-3000171","8/41",1.43887030521772e-09,1.17507741592781e-07,0,0,30.3812811660913,618.544884893752,"LAMA5;SDC4;DAG1;LAMB1;LAMC1;AGRN;THBS1;HSPG2","Reactome_2022","Upregulated"
"Unfolded Protein Response (UPR) R-HSA-381119","10/89",3.41824427594621e-09,2.39277099316234e-07,0,0,16.0296981499513,312.485160453638,"IGFBP1;HSPA5;FKBP14;DDIT3;EIF2AK3;SRPRA;WIPI1;ATF6;YIF1A;HERPUD1","Reactome_2022","Upregulated"
"Defective B3GALT6 Causes EDSP2 And SEMDJL1 R-HSA-4420332","6/20",1.05099933587534e-08,5.14989674578914e-07,0,0,53.0892857142857,975.300044485716,"VCAN;SDC4;GPC1;AGRN;HSPG2;GPC6","Reactome_2022","Upregulated"
"Defective B3GAT3 Causes JDSSDHD R-HSA-3560801","6/20",1.05099933587534e-08,5.14989674578914e-07,0,0,53.0892857142857,975.300044485716,"VCAN;SDC4;GPC1;AGRN;HSPG2;GPC6","Reactome_2022","Upregulated"
"Defective B4GALT7 Causes EDS, Progeroid Type R-HSA-3560783","6/20",1.05099933587534e-08,5.14989674578914e-07,0,0,53.0892857142857,975.300044485716,"VCAN;SDC4;GPC1;AGRN;HSPG2;GPC6","Reactome_2022","Upregulated"
"ECM Proteoglycans R-HSA-3000178","8/55",1.66159332961519e-08,7.4016430137404e-07,0,0,21.3164556962025,381.839619493028,"LAMA5;VCAN;SERPINE1;DAG1;LAMB1;LAMC1;AGRN;HSPG2","Reactome_2022","Upregulated"
"Defective EXT1 Causes Exostoses 1, TRPS2 And CHDS R-HSA-3656253","5/13",4.52215444129568e-08,1.8465463968624e-06,0,0,76.9642857142857,1301.59631172924,"SDC4;GPC1;AGRN;HSPG2;GPC6","Reactome_2022","Upregulated"
"GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475","6/26",5.99084721939154e-08,2.25808856730912e-06,0,0,37.15125,617.84192765124,"VCAN;SDC4;GPC1;AGRN;GPC6;HSPG2","Reactome_2022","Upregulated"
"Metabolism Of Proteins R-HSA-392499","38/1890",2.05910783346589e-07,7.20687741713063e-06,0,0,2.88250877429806,44.3785944599221,"APP;SERPINA1;CETN2;UAP1;LAMC1;THBS1;CST3;STC2;DAG1;SLC17A5;QSOX1;IGFBP6;TIMP1;B2M;IGFBP1;SEC24A;IGFBP4;APLP2;COG3;IGFBP2;ALG2;FN1;RAB39B;LAMB1;JOSD2;HSPG2;DHDDS;VCAN;NAGK;VGF;COL7A1;SRPRA;TGFBI;SEC22B;MFGE8;SEC24D;SQSTM1;ITM2B","Reactome_2022","Upregulated"
"PERK Regulates Gene Expression R-HSA-381042","6/32",2.26288079151765e-07,7.39207725229099e-06,0,0,28.5692307692308,437.150855078115,"IGFBP1;HSPA5;DDIT3;EIF2AK3;ATF6;HERPUD1","Reactome_2022","Upregulated"
"Diseases Of Glycosylation R-HSA-3781865","10/143",3.27102380770289e-07,9.96231880055542e-06,0,0,9.49537304800463,141.794335688089,"VCAN;SDC4;GPC1;DAG1;ALG2;AGRN;HSPG2;THBS1;GPC6;DHDDS","Reactome_2022","Upregulated"
"Post-translational Protein Modification R-HSA-597592","31/1383",3.45631468590698e-07,9.96231880055542e-06,0,0,3.13906421214114,46.7026606811249,"APP;SERPINA1;CETN2;UAP1;LAMC1;THBS1;CST3;STC2;DAG1;SLC17A5;QSOX1;TIMP1;IGFBP1;SEC24A;IGFBP4;APLP2;COG3;ALG2;FN1;RAB39B;LAMB1;JOSD2;DHDDS;VCAN;NAGK;VGF;COL7A1;SEC22B;MFGE8;SEC24D;SQSTM1","Reactome_2022","Upregulated"
"Early SARS-CoV-2 Infection Events R-HSA-9772572","6/37",5.60953645750123e-07,1.52704048009756e-05,0,0,23.9552419354839,344.802830594542,"NRP1;SDC4;GPC1;AGRN;GPC6;HSPG2","Reactome_2022","Upregulated"
"HS-GAG Degradation R-HSA-2024096","5/21",6.77604975935162e-07,1.747507569517e-05,0,0,38.4666149068323,546.406776703384,"SDC4;GPC1;AGRN;HSPG2;GPC6","Reactome_2022","Upregulated"
"Laminin Interactions R-HSA-3000157","5/22",8.7103379106065e-07,2.11706493617435e-05,0,0,36.2020460358056,505.148328892714,"COL18A1;LAMA5;LAMB1;LAMC1;HSPG2","Reactome_2022","Upregulated"
"Diseases Associated With Glycosaminoglycan Metabolism R-HSA-3560782","6/40",9.0731354407472e-07,2.11706493617435e-05,0,0,21.8382352941176,303.830514164607,"VCAN;SDC4;GPC1;AGRN;GPC6;HSPG2","Reactome_2022","Upregulated"
"Platelet Activation, Signaling And Aggregation R-HSA-76002","12/254",1.46715729536518e-06,3.26775943058607e-05,0,0,6.30846839111302,84.7365071913819,"LGALS3BP;APP;SERPINA1;HSPA5;APLP2;SERPINE1;FN1;MAGED2;QSOX1;TIMP1;CLU;THBS1","Reactome_2022","Upregulated"
"Chondroitin Sulfate/Dermatan Sulfate Metabolism R-HSA-1793185","6/50",3.5074250408187e-06,7.47234030435288e-05,0,0,16.8664772727273,211.853553377567,"VCAN;SDC4;GPC1;AGRN;HSPG2;GPC6","Reactome_2022","Upregulated"
"Amyloid Fiber Formation R-HSA-977225","7/79",4.19473102240625e-06,8.56424250407942e-05,0,0,12.0836827393431,149.616309076698,"CST3;APP;TGFBI;MFGE8;B2M;HSPG2;ITM2B","Reactome_2022","Upregulated"
"HS-GAG Biosynthesis R-HSA-2022928","5/30",4.46727041985021e-06,8.75585002290642e-05,0,0,24.6074534161491,303.132647955926,"SDC4;GPC1;AGRN;GPC6;HSPG2","Reactome_2022","Upregulated"
"Heparan Sulfate/Heparin (HS-GAG) Metabolism R-HSA-1638091","6/53",4.96416619734672e-06,9.35554398730727e-05,0,0,15.7875,192.816924513188,"VCAN;SDC4;GPC1;AGRN;HSPG2;GPC6","Reactome_2022","Upregulated"
"Cargo Concentration In ER R-HSA-5694530","5/32",6.22864517721689e-06,0.000113038375438381,0,0,22.7823786519439,273.077603457396,"SERPINA1;SEC24A;COL7A1;SEC22B;SEC24D","Reactome_2022","Upregulated"
"Diseases Of Metabolism R-HSA-5668914","11/247",7.14510839159695e-06,0.000125039396852947,0,0,5.89332968835429,69.8305501274071,"VCAN;SDC4;GPC1;DAG1;ALG2;MMUT;AGRN;HSPG2;THBS1;GPC6;DHDDS","Reactome_2022","Upregulated"
"Integrin Cell Surface Interactions R-HSA-216083","6/66",1.79744061961919e-05,0.000303705484004622,0,0,12.35875,135.038644284869,"COL18A1;COL4A2;FN1;AGRN;HSPG2;THBS1","Reactome_2022","Upregulated"
"Asparagine N-linked Glycosylation R-HSA-446203","11/282",2.46214216872613e-05,0.000402149887558601,0,0,5.12303297226521,54.36508129078,"SERPINA1;SEC24A;NAGK;COL7A1;COG3;ALG2;SLC17A5;UAP1;SEC22B;SEC24D;DHDDS","Reactome_2022","Upregulated"
"Retinoid Metabolism And Transport R-HSA-975634","5/43",2.76588622901687e-05,0.000437188468457506,0,0,16.1784897025172,169.802379993606,"SDC4;GPC1;AGRN;GPC6;HSPG2","Reactome_2022","Upregulated"
"Degradation Of Extracellular Matrix R-HSA-1474228","7/109",3.50166508243702e-05,0.000536192465748169,0,0,8.51670982858552,87.3787760189545,"COL18A1;LAMA5;TIMP2;LAMB1;LAMC1;TIMP1;HSPG2","Reactome_2022","Upregulated"
"Metabolism Of Fat-Soluble Vitamins R-HSA-6806667","5/47",4.29117136489436e-05,0.000637173929938859,0,0,14.6347234545992,147.172131327155,"SDC4;GPC1;AGRN;GPC6;HSPG2","Reactome_2022","Upregulated"
"ATF6 (ATF6-alpha) Activates Chaperone Genes R-HSA-381183","3/9",4.54679243942918e-05,0.000655273028035382,0,0,60.8220858895706,608.129834932478,"HSPA5;DDIT3;ATF6","Reactome_2022","Upregulated"
"IRE1alpha Activates Chaperones R-HSA-381070","5/48",4.75821866502761e-05,0.000666150613103866,0,0,14.2936588184313,142.265530873798,"HSPA5;FKBP14;SRPRA;WIPI1;YIF1A","Reactome_2022","Upregulated"
"ATF4 Activates Genes In Response To Endoplasmic Reticulum Stress R-HSA-380994","4/27",6.92002176670688e-05,0.000941891851579548,0,0,21.2678475577026,203.714217133043,"IGFBP1;DDIT3;ATF6;HERPUD1","Reactome_2022","Upregulated"
"Antigen Presentation: Folding, Assembly, Peptide Loading Of Class I MHC R-HSA-983170","4/28",8.02132621745757e-05,0.00106228374231195,0,0,20.380658436214,192.206355697669,"SEC24A;HSPA5;SEC24D;B2M","Reactome_2022","Upregulated"
"ATF6 (ATF6-alpha) Activates Chaperones R-HSA-381033","3/11",8.82264801825221e-05,0.00113765724445884,0,0,45.611963190184,425.8151991491,"HSPA5;DDIT3;ATF6","Reactome_2022","Upregulated"
"Hemostasis R-HSA-109582","15/576",9.47852101614098e-05,0.00119089110202797,0,0,3.41272089811241,31.6150954762682,"LGALS3BP;APP;SERPINA1;SDC4;HSPA5;APLP2;SERPINE1;FN1;TNFRSF10B;CLU;THBS1;GPC1;MAGED2;QSOX1;TIMP1","Reactome_2022","Upregulated"
"COPII-mediated Vesicle Transport R-HSA-204005","5/66",0.000220219773801511,0.00269769222906851,0,0,10.0666938193667,84.770466336585,"SERPINA1;SEC24A;COL7A1;SEC22B;SEC24D","Reactome_2022","Upregulated"
"MET Activates PTK2 Signaling R-HSA-8874081","3/17",0.000350519767167498,0.0041891386807823,0,0,26.0560911481157,207.304696273132,"LAMA5;LAMB1;LAMC1","Reactome_2022","Upregulated"
"Biosynthesis Of N-glycan Precursor (Dolichol LLO) And Transfer To Protein R-HSA-446193","5/77",0.000452467400110426,0.00527878633462164,0,0,8.52398205659075,65.6414370493624,"NAGK;ALG2;SLC17A5;UAP1;DHDDS","Reactome_2022","Upregulated"
"Collagen Chain Trimerization R-HSA-8948216","4/44",0.000479652478236999,0.00546580731014255,0,0,12.2185185185185,93.3794012115676,"COL18A1;COL4A2;COL7A1;COL5A2","Reactome_2022","Upregulated"
"Glycosaminoglycan Metabolism R-HSA-1630316","6/120",0.000500087021443437,0.0055691509206201,0,0,6.48684210526316,49.304725222064,"VCAN;SDC4;GPC1;AGRN;HSPG2;GPC6","Reactome_2022","Upregulated"
"Regulation Of Complement Cascade R-HSA-977606","4/45",0.00052306868642659,0.0056956368077562,0,0,11.9199036434809,90.0643813790297,"C5;C1S;CFH;CLU","Reactome_2022","Upregulated"
"XBP1(S) Activates Chaperone Genes R-HSA-381038","4/46",0.000569208436003416,0.00606330725307987,0,0,11.6355085243974,86.9319544596396,"FKBP14;SRPRA;WIPI1;YIF1A","Reactome_2022","Upregulated"
"SARS-CoV-2 Infection R-HSA-9694516","9/283",0.000612587478484752,0.00638655030760699,0,0,4.09224045748291,30.2736534057418,"NRP1;SEC24A;SDC4;GPC1;SEC24D;AGRN;B2M;HSPG2;GPC6","Reactome_2022","Upregulated"
"Immune System R-HSA-168256","30/1943",0.000626125426688524,0.00639169706411201,0,0,2.06647243319701,15.2422176876716,"APP;LAMA5;GRN;SERPINA1;CDKN1B;CFH;C1S;CLSTN1;CLU;CST3;C5;CREG1;ORMDL3;TIMP2;QSOX1;TIMP1;B2M;IKBIP;NPDC1;SEC24A;HSPA5;TNFRSF12A;FN1;QPCT;TRIB3;TRIM38;SEC22B;SEC24D;SQSTM1;ITM2C","Reactome_2022","Upregulated"
"ER To Golgi Anterograde Transport R-HSA-199977","6/133",0.000859424313382929,0.00859424313382929,0,0,5.81899606299213,41.0777351320866,"SERPINA1;SEC24A;COL7A1;COG3;SEC22B;SEC24D","Reactome_2022","Upregulated"
"SARS-CoV Infections R-HSA-9679506","10/369",0.00105525488194842,0.0103414978430945,0,0,3.47743018355832,23.8342124030835,"NRP1;SEC24A;SDC4;FXYD2;GPC1;SEC24D;AGRN;B2M;HSPG2;GPC6","Reactome_2022","Upregulated"
"Complement Cascade R-HSA-166658","4/55",0.00112275129227916,0.0107872182983684,0,0,9.57782619220528,65.0523378060686,"C5;C1S;CFH;CLU","Reactome_2022","Upregulated"
"Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090","4/57",0.00128377856214351,0.0120971441432754,0,0,9.21546703936641,61.3560961782123,"COL18A1;COL4A2;COL7A1;COL5A2","Reactome_2022","Upregulated"
"Visual Phototransduction R-HSA-2187338","5/98",0.00135272904123395,0.0125063628340497,0,0,6.59219929205904,43.5456374192092,"SDC4;GPC1;AGRN;HSPG2;GPC6","Reactome_2022","Upregulated"
"Terminal Pathway Of Complement R-HSA-166665","2/7",0.00139918426440188,0.0126963016584615,0,0,48.3634146341463,317.837874496804,"C5;CLU","Reactome_2022","Upregulated"
"MET Promotes Cell Motility R-HSA-8875878","3/28",0.00157930822380472,0.0140702005393512,0,0,14.5833128834356,94.0735733449171,"LAMA5;LAMB1;LAMC1","Reactome_2022","Upregulated"
"EGR2 And SOX10-mediated Initiation Of Schwann Cell Myelination R-HSA-9619665","3/29",0.0017508698683985,0.0151334527380202,0,0,14.0217083529967,89.0047925215315,"DAG1;LAMB1;LAMC1","Reactome_2022","Upregulated"
"Transport Of Inorganic Cations/Anions And Amino Acids/Oligopeptides R-HSA-425393","5/104",0.00176042205319827,0.0151334527380202,0,0,6.19078988644206,39.2632381156802,"SLC4A7;SLC38A1;SLC17A5;SLC4A2;SLC38A2","Reactome_2022","Upregulated"
"Synthesis Of UDP-N-acetyl-glucosamine R-HSA-446210","2/8",0.00185541581815686,0.0154708433334816,0,0,40.3008130081301,253.477865360352,"NAGK;UAP1","Reactome_2022","Upregulated"
"Synthesis Of Substrates In N-glycan Biosythesis R-HSA-446219","4/63",0.00186281582994982,0.0154708433334816,0,0,8.27578991420799,52.0188516920548,"NAGK;SLC17A5;UAP1;DHDDS","Reactome_2022","Upregulated"
"Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814","4/67",0.00233636278950288,0.0190802961142736,0,0,7.74877523025671,46.951068322462,"COL18A1;COL4A2;COL7A1;COL5A2","Reactome_2022","Upregulated"
"Transport To Golgi And Subsequent Modification R-HSA-948021","6/164",0.00250340910472722,0.020109351824858,0,0,4.66993670886076,27.9733964450287,"SERPINA1;SEC24A;COL7A1;COG3;SEC22B;SEC24D","Reactome_2022","Upregulated"
"Activation Of Matrix Metalloproteinases R-HSA-1592389","3/33",0.00255163869306351,0.02016617676776,0,0,12.1496932515337,72.5460553418577,"COL18A1;TIMP2;TIMP1","Reactome_2022","Upregulated"
"Cellular Responses To Stress R-HSA-2262752","14/722",0.00283873401545775,0.0220790423424491,0,0,2.48814302705917,14.5914587408223,"IGFBP1;CDKN1B;HSPA5;FKBP14;EIF2AK3;WIPI1;COX6C;YIF1A;HERPUD1;DDIT3;SRPRA;TRIB3;ATF6;SQSTM1","Reactome_2022","Upregulated"
"Bicarbonate Transporters R-HSA-425381","2/10",0.00294954688137821,0.0225824683105519,0,0,30.2225609756098,176.079774926743,"SLC4A7;SLC4A2","Reactome_2022","Upregulated"
"Cellular Responses To Stimuli R-HSA-8953897","14/736",0.00336996221837902,0.0254043305693188,0,0,2.4381105117364,13.8798065595207,"IGFBP1;CDKN1B;HSPA5;FKBP14;EIF2AK3;WIPI1;COX6C;YIF1A;HERPUD1;DDIT3;SRPRA;TRIB3;ATF6;SQSTM1","Reactome_2022","Upregulated"
"ALK Mutants Bind TKIs R-HSA-9700645","2/12",0.00427909834980946,0.0317690635061612,0,0,24.1756097560976,131.854088865558,"EIF2AK3;FN1","Reactome_2022","Upregulated"
"Metabolism Of Vitamins And Cofactors R-HSA-196854","6/186",0.00464424444608049,0.0337198898889364,0,0,4.09458333333333,21.9966199572378,"SDC4;GPC1;MMUT;AGRN;HSPG2;GPC6","Reactome_2022","Upregulated"
"Disease R-HSA-1643685","25/1736",0.00467949492336261,0.0337198898889364,0,0,1.87802330353035,10.0747782659129,"APP;NRP1;CDKN1B;SDC4;CLSTN1;THBS1;GPC1;DAG1;SLC17A5;MMUT;B2M;GPC6;SEC24A;RNGTT;ALG2;FN1;EIF2AK3;HSPG2;DHDDS;TARBP1;VCAN;FXYD2;SEC24D;AGRN;SQSTM1","Reactome_2022","Upregulated"
"Neutrophil Degranulation R-HSA-6798695","10/468",0.00581751647649452,0.0413127981664104,0,0,2.71190236255738,13.957840996106,"CST3;GRN;SERPINA1;CREG1;QPCT;ORMDL3;TIMP2;QSOX1;B2M;ITM2C","Reactome_2022","Upregulated"
"Response Of EIF2AK1 (HRI) To Heme Deficiency R-HSA-9648895","2/15",0.00669741795516818,0.04641312285754,0,0,18.593808630394,93.0812234425682,"DDIT3;TRIB3","Reactome_2022","Upregulated"
"Collagen Formation R-HSA-1474290","4/90",0.00672516678139865,0.04641312285754,0,0,5.66982486362331,28.3598887844875,"COL18A1;COL4A2;COL7A1;COL5A2","Reactome_2022","Upregulated"
"miRNA Targets In ECM And Membrane Receptors WP2911","6/22",1.99557660048843e-08,4.9490299692113e-06,0,0,46.4484375,823.519078518,"COL4A2;LAMB2;COL5A2;FN1;LAMC1;THBS1","WikiPathways_2024_Human","Upregulated"
"Inflammatory Response Pathway WP453","6/30",1.50322512684711e-07,1.86399915729042e-05,0,0,30.953125,486.288536879016,"LAMA5;LAMB2;FN1;LAMB1;LAMC1;THBS1","WikiPathways_2024_Human","Upregulated"
"Unfolded Protein Response WP4925","5/23",1.10554226238686e-06,6.21184372253357e-05,0,0,34.1890959282264,468.909420351234,"HSPA5;DDIT3;EIF2AK3;TNFRSF10B;ATF6","WikiPathways_2024_Human","Upregulated"
"Small Cell Lung Cancer WP4658","8/95",1.25238784728499e-06,6.21184372253357e-05,0,0,11.4925069111014,156.188438823352,"LAMA5;CDKN1B;COL4A2;MAX;LAMB2;FN1;LAMB1;LAMC1","WikiPathways_2024_Human","Upregulated"
"Complement System WP2806","8/95",1.25238784728499e-06,6.21184372253357e-05,0,0,11.4925069111014,156.188438823352,"LAMA5;C5;CFH;C1S;SPP1;LAMB1;LAMC1;THBS1","WikiPathways_2024_Human","Upregulated"
"Photodynamic Therapy Induced Unfolded Protein Response WP3613","5/27",2.58215304966016e-06,0.000106728992719287,0,0,27.9672501411632,359.851447034196,"HSPA5;DDIT3;EIF2AK3;TRIB3;ATF6","WikiPathways_2024_Human","Upregulated"
"Apoptosis Related Network Due To Altered Notch3 Ovarian Cancer WP2864","6/53",4.96416619734672e-06,0.000175873316705998,0,0,15.7875,192.816924513188,"APP;CDKN1B;HSPA5;TNFRSF10B;SQSTM1;THBS1","WikiPathways_2024_Human","Upregulated"
"Primary Focal Segmental Glomerulosclerosis FSGS WP2572","6/72",2.96663630207603e-05,0.000919657253643569,0,0,11.2318181818182,117.097283526662,"LAMA5;CDKN1B;LAMB2;DAG1;FAT1;AGRN","WikiPathways_2024_Human","Upregulated"
"Focal Adhesion WP306","9/199",4.39873569469554e-05,0.00117513324489413,0,0,5.92678511565538,59.4551868026873,"LAMA5;COL4A2;LAMB2;COL5A2;FN1;SPP1;LAMB1;LAMC1;THBS1","WikiPathways_2024_Human","Upregulated"
"Focal Adhesion PI3K Akt mTOR Signaling WP3932","11/303",4.73844050360537e-05,0.00117513324489413,0,0,4.74949182501105,47.2917225987749,"CREB3;LAMA5;CDKN1B;COL4A2;LAMB2;COL5A2;FN1;SPP1;LAMB1;LAMC1;THBS1","WikiPathways_2024_Human","Upregulated"
"Complement And Coagulation Cascades WP558","5/58",0.000119100336016538,0.00267142278209563,0,0,11.590882456346,104.729931450358,"SERPINA1;C1S;CFH;SERPINE1;CLU","WikiPathways_2024_Human","Upregulated"
"Dengue 2 Interactions With Complement And Coagulation Cascades WP3896","5/59",0.000129262392682046,0.00267142278209563,0,0,11.3756613756614,101.853874394314,"SERPINA1;C1S;CFH;SERPINE1;CLU","WikiPathways_2024_Human","Upregulated"
"Alpha 6 Beta 4 Signaling WP244","4/33",0.000155212739247171,0.00296098148717681,0,0,16.8624946785866,147.896115973865,"LAMA5;LAMB2;LAMB1;LAMC1","WikiPathways_2024_Human","Upregulated"
"Splicing Factor NOVA Regulated Synaptic Proteins WP4148","4/42",0.000400613413521907,0.00709658046810236,0,0,12.862897985705,100.620195093778,"APLP2;CLSTN1;NCDN;AGRN","WikiPathways_2024_Human","Upregulated"
"PI3K Akt Signaling WP4172","10/338",0.000539816676771632,0.00882273075805295,0,0,3.81214821763602,28.6836742640175,"CREB3;LAMA5;CDKN1B;COL4A2;LAMB2;FN1;SPP1;LAMB1;LAMC1;THBS1","WikiPathways_2024_Human","Upregulated"
"Endoplasmic Reticulum Stress Response In Coronavirus Infection WP4861","4/46",0.000569208436003416,0.00882273075805295,0,0,11.6355085243974,86.9319544596396,"HSPA5;DDIT3;EIF2AK3;ATF6","WikiPathways_2024_Human","Upregulated"
"Complement System In Neuronal Development And Plasticity WP5090","5/106",0.00191443055701766,0.0279281634200224,0,0,6.0675850193715,37.9729800552275,"C5;CFH;C1S;MFGE8;CLU","WikiPathways_2024_Human","Upregulated"
"Sterol Regulatory Element Binding Proteins SREBP Signaling WP1982","4/69",0.00260162753225655,0.0358446459999792,0,0,7.50959164292498,44.6942212140913,"SEC24A;SEC24D;ATF6;SEC23B","WikiPathways_2024_Human","Upregulated"
"Photodynamic Therapy Induced HIF 1 Survival Signaling WP3614","3/37",0.0035468414741332,0.0423418550075553,0,0,10.7181522915915,60.4685761727953,"IGFBP1;SERPINE1;IGFBP2","WikiPathways_2024_Human","Upregulated"
"Inclusion Body Myositis WP5120","2/11",0.00358539901273654,0.0423418550075553,0,0,26.8631436314363,151.263286240739,"APP;MAPT","WikiPathways_2024_Human","Upregulated"
"UDP Derived Sugars Synthesis In Fibroblasts WP5394","2/11",0.00358539901273654,0.0423418550075553,0,0,26.8631436314363,151.263286240739,"UXS1;HK2","WikiPathways_2024_Human","Upregulated"
"Oxidative Damage Response WP3941","3/40",0.00442889665657631,0.0499257441286784,0,0,9.84762062676173,53.3702118959266,"C5;CDKN1B;C1S","WikiPathways_2024_Human","Upregulated"
"Retrograde endocannabinoid signaling","17/148",1.23614648708122e-10,2.70716080670786e-08,0,0,8.78446340368208,200.407448525743,"NDUFA8;NDUFA7;NDUFB7;NDUFA5;NDUFA12;NDUFA3;NDUFB3;GNAI3;ABHD6;GNAI2;NDUFS7;GNB1;NDUFS4;NDUFS3;NDUFS2;PRKACA;ND5","KEGG_2021_Human","Downregulated"
"Non-alcoholic fatty liver disease","15/155",1.66252319894344e-08,1.82046290284306e-06,0,0,7.19955817378498,128.960964789719,"NDUFA8;PRKAA1;NDUFA7;NDUFB7;PRKAA2;NDUFA5;NDUFA12;NDUFA3;NDUFB3;PRKAG1;NDUFS7;NDUFS4;NDUFS3;AKT1;NDUFS2","KEGG_2021_Human","Downregulated"
